Title,ISBN,Author,Rating,Date of publish,Category,user_id,LIKE,Comment
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",9781400205875,Lysa  TerKeurst,4.0,"August 9, 2016",Personal-Development,192,1,A thought-provoking and insightful book.
Infectious Madness,9780316277815,Harriet A. Washington,4.0,"September 1, 2015",Personal-Development,313,1,A quick and entertaining read.
Infectious Madness,9780316277815,Harriet A. Washington,4.0,"September 1, 2015",Personal-Development,486,1,
"The Globotics Upheaval: Globalisation, Robotics and the Future of Work",9781474609043,Richard Baldwin,3.0,"January 10, 2019",Computer-Science,406,0,A classic for a reason. Highly enjoyable.
"The Holy Bible: New American Standard Version, NASB",9781585161782,Anonymous,5.0,"January 1, 1971",Personal-Development,326,0,
Looking for Alaska,9781435249158,John Green,4.0,"January 1, 2005",History,165,1,I found the writing style to be quite beautiful.
Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,9781617292231,Aditya Y. Bhargava,4.0,"January 1, 2015",Computer-Science,204,1,This book really made me think about [a theme].
"Triss (Redwall, #15)",9780142402481,"Brian Jacques,Allan Curless",4.0,"January 1, 2002",Children,391,1,I would recommend this to fans of [genre].
"Tess of the Road (Tess of the Road, #1)",9781101931288,Rachel Hartman,1.0,"February 27, 2018",Math,433,0,The ending left me wanting more.
Life: A User's Manual,9780879237516,"Georges Perec,David Bellos",4.0,"May 15, 1978",Math,49,0,
Life: A User's Manual,9780879237516,"Georges Perec,David Bellos",1.0,"May 15, 1978",Math,350,0,I found the writing style to be quite beautiful.
"Tomorrow, and Tomorrow, and Tomorrow",9780735243347,Gabrielle Zevin,4.0,"July 5, 2022",Technology,129,0,I couldn't put it down!
Mystery on Magnolia Circle,9781250756862,"Kate Klise,Celia Krampien",4.0,"August 3, 2021",Math,247,1,The world-building in this fantasy novel is incredible.
97 Things Every Programmer Should Know: Collective Wisdom from the Experts,9780596809485,Kevlin Henney,,"January 1, 2010",Computer-Science,63,0,I found the writing style to be quite beautiful.
The Magic of Believing,9780671745219,Claude M. Bristol,4.0,"January 1, 1948",Personal-Development,71,1,
"Save the Unicorns (The Unicorn Club, #1)",9780553482027,Francine Pascal,,"January 1, 1994",Children,219,0,I couldn't put it down!
"Dreamfever (Fever, #4)",9780385341653,Karen Marie Moning,4.0,"August 18, 2009",Fantasy,210,0,A thought-provoking and insightful book.
Mathematical Statistics with Applications,9780495110811,"Dennis D. Wackerly,William Mendenhall,Richard L. Scheaffer",4.0,"January 1, 1995",Math,230,1,This book really made me think about [a theme].
The Bastard Brigade: The True Story of the Renegade Scientists and Spies Who Sabotaged the Nazi Atomic Bomb,9780316381680,Sam Kean,4.0,"July 9, 2019",Math,356,1,
The Bastard Brigade: The True Story of the Renegade Scientists and Spies Who Sabotaged the Nazi Atomic Bomb,9780316381680,Sam Kean,4.0,"July 9, 2019",Math,476,1,
Dear Zoo: A Lift-the-Flap Book,9781416947370,Rod Campbell,4.0,"January 1, 1982",Children,290,1,Disappointing after all the hype.
"Devlin and Garrick (Seeking Redemption, #2)",9781595787088,Cameron Dane,4.0,"June 7, 2010",Cars,185,0,I struggled to connect with the main character.
Fast Food Nation: The Dark Side of the All-American Meal,9780060838584,Eric Schlosser,4.0,"January 17, 2001",Personal-Development,11,0,I would recommend this to fans of [genre].
A Kid for Two Farthings,9781608190485,Wolf Mankowitz,4.0,"January 1, 1953",Children,110,0,I couldn't put it down!
This Is the House That Jack Built,9780142402009,Simms Taback,4.0,"January 1, 2002",Children,294,1,I couldn't put it down!
Project Hail Mary,9780593135204,Andy Weir,3.0,"May 4, 2021",Math,242,0,A thought-provoking and insightful book.
Project Hail Mary,9780593135204,Andy Weir,4.0,"May 4, 2021",Math,337,1,I would recommend this to fans of [genre].
The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity,9780672326141,Alan Cooper,4.0,"March 23, 1999",Computer-Science,442,1,A thought-provoking and insightful book.
Have a Little Faith: a True Story,9780786868728,Mitch Albom,4.0,"January 1, 2009",Personal-Development,414,0,A thought-provoking and insightful book.
Discrete Mathematics with Applications,9780534359454,Susanna S. Epp,4.0,"January 1, 1990",Math,366,1,The plot twists kept me guessing until the end.
The Magic School Bus Inside the Earth (The Magic School Bus #2),9780590407601,"Joanna Cole,Bruce Degen",4.0,"October 1, 1987",Math,422,1,I would recommend this to fans of [genre].
"I Love You, Stinky Face",9780439634694,"Lisa McCourt,Cyd Moore",,"August 1, 1997",Children,109,1,The plot twists kept me guessing until the end.
"I Love You, Stinky Face",9780439634694,"Lisa McCourt,Cyd Moore",,"August 1, 1997",Children,208,0,I struggled to connect with the main character.
The House of the Spirits,9780553383805,"Isabel Allende,Magda Bogin",4.0,"January 1, 1982",self-help,335,1,A captivating story with well-developed characters.
"Power Up Your Mind: Learn Faster, Work Smarter",9781857882759,Bill Lucas,3.0,"October 1, 2001",Personal-Development,112,1,The pacing felt a bit off in the middle.
Mindfulness in Plain English,9780861713219,"Henepola Gunaratana,Lauri Porceddu",4.0,"January 25, 1992",Personal-Development,135,0,A thought-provoking and insightful book.
Mindfulness in Plain English,9780861713219,"Henepola Gunaratana,Lauri Porceddu",,"January 25, 1992",Personal-Development,428,0,
Places I Never Meant to Be: Original Stories by Censored Writers,9780689842580,Judy Blume,,"August 1, 1999",Personal-Development,153,1,I would recommend this to fans of [genre].
Places I Never Meant to Be: Original Stories by Censored Writers,9780689842580,Judy Blume,4.0,"August 1, 1999",Personal-Development,350,1,
Places I Never Meant to Be: Original Stories by Censored Writers,9780689842580,Judy Blume,4.0,"August 1, 1999",Personal-Development,393,0,The ending left me wanting more.
The Practical SQL Handbook: Using Structured Query Language (3rd Edition),9780201447873,"Judith S. Bowman,Sandra L. Emerson,Marcy Darnovsky",4.0,"May 1, 1989",Computer-Science,315,1,I found the writing style to be quite beautiful.
The Little Schemer,9780262560993,"Daniel P. Friedman,Matthias Felleisen,Gerald Jay Sussman,Duane Bibby",4.0,"January 1, 1974",Computer-Science,220,0,I struggled to connect with the main character.
The Changeover,9780140365993,Margaret Mahy,1.0,"January 1, 1984",Children,47,0,This book really made me think about [a theme].
"The Feather Thief: Beauty, Obsession, and the Natural History Heist of the Century",9781101981634,Kirk Wallace Johnson,2.0,"April 24, 2018",Biology,177,0,I would recommend this to fans of [genre].
"The Feather Thief: Beauty, Obsession, and the Natural History Heist of the Century",9781101981634,Kirk Wallace Johnson,,"April 24, 2018",Biology,435,0,A captivating story with well-developed characters.
"The 13th Element: The Sordid Tale of Murder, Fire, and Phosphorus",9780471441496,John Emsley,1.0,"February 18, 2000",Computer-Science,198,0,
Linear Models with R (Chapman & Hall/CRC Texts in Statistical Science),9781439887349,Julian James Faraway,4.0,"July 26, 2004",Computer-Science,65,1,
You Are My Miracle,9780399240379,"Maryann Cusimano Love,Satomi Ichikawa",1.0,"September 15, 2005",Math,271,0,I found the writing style to be quite beautiful.
You Are My Miracle,9780399240379,"Maryann Cusimano Love,Satomi Ichikawa",4.0,"September 15, 2005",Math,415,0,Disappointing after all the hype.
"The 5 Second Rule: Transform Your Life, Work, and Confidence with Everyday Courage",9781682612392,Mel Robbins,4.0,"February 28, 2017",Personal-Development,432,1,I struggled to connect with the main character.
Zombies and Calculus,9780691161907,Colin Conrad Adams,3.0,"January 1, 2014",Math,412,1,A classic for a reason. Highly enjoyable.
Tibetan Peach Pie: A True Account of an Imaginative Life,9780062267405,Tom Robbins,4.0,"May 27, 2014",Math,112,1,The plot twists kept me guessing until the end.
Tibetan Peach Pie: A True Account of an Imaginative Life,9780062267405,Tom Robbins,4.0,"May 27, 2014",Math,136,1,The plot twists kept me guessing until the end.
Tibetan Peach Pie: A True Account of an Imaginative Life,9780062267405,Tom Robbins,4.0,"May 27, 2014",Math,200,1,I couldn't put it down!
"Harold and the Purple Crayon (Harold, #1)",9780747532033,Crockett Johnson,,"January 1, 1955",Cars,329,0,"Not what I expected, but in a good way!"
Black Tuesday,9780525477662,Susan Colebank,4.0,"June 14, 2007",Cars,60,1,A quick and entertaining read.
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",9780385348720,Erik Larson,4.0,"February 25, 2020",Personal-Development,27,0,The pacing felt a bit off in the middle.
"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",9780525954828,Sean Carroll,3.0,"May 10, 2016",Math,355,0,The plot twists kept me guessing until the end.
"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",9780525954828,Sean Carroll,4.0,"May 10, 2016",Math,420,0,I struggled to connect with the main character.
"Moon Called (Mercy Thompson, #1)",9780441013814,Patricia Briggs,,"January 31, 2006",Fantasy,342,1,The ending left me wanting more.
"Baby-Sitters Club Boxed Set #1 (The Baby-Sitters Club, #1-4)",9780590598873,Ann M. Martin,,"January 1, 1986",Children,116,0,The plot twists kept me guessing until the end.
"Baby-Sitters Club Boxed Set #1 (The Baby-Sitters Club, #1-4)",9780590598873,Ann M. Martin,,"January 1, 1986",Children,312,1,A captivating story with well-developed characters.
Major Pettigrew's Last Stand,9781400068937,Helen Simonson,4.0,"March 2, 2010",Children,52,1,The world-building in this fantasy novel is incredible.
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle (The Country Nurse #1),9781611458312,"Mary J. MacLeod,Claire Macdonald",4.0,"January 1, 2012",Computer-Science,365,0,A classic for a reason. Highly enjoyable.
"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",9780385526265,Candice Millard,3.0,"September 20, 2011",Biology,151,0,A quick and entertaining read.
Knight Rider,9780523421704,"Glen A. Larson,Roger Hill",4.0,"January 1, 1983",Cars,116,1,The plot twists kept me guessing until the end.
Knight Rider,9780523421704,"Glen A. Larson,Roger Hill",4.0,"January 1, 1983",Cars,162,1,A quick and entertaining read.
Knight Rider,9780523421704,"Glen A. Larson,Roger Hill",4.0,"January 1, 1983",Cars,281,1,The world-building in this fantasy novel is incredible.
Knight Rider,9780523421704,"Glen A. Larson,Roger Hill",4.0,"January 1, 1983",Cars,481,1,I would recommend this to fans of [genre].
To Fly Among the Stars: The Hidden Story of the Fight for Women Astronauts (Scholastic Focus),9781338290158,Rebecca  Siegel,4.0,"March 3, 2020",Computer-Science,292,0,
Supernature,9780340173688,Lyall Watson,4.0,"January 1, 1973",Math,409,0,Disappointing after all the hype.
"Ikigami: The Ultimate Limit, Volume 7 (Ikigami, #7)",9781421536682,Motorō Mase,4.0,"September 30, 2009",nonfiction,347,0,A quick and entertaining read.
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",9780345453747,Douglas Adams,2.0,"January 17, 1996",Fantasy,125,0,The world-building in this fantasy novel is incredible.
Programming Elixir ≥ 1.6: Functional |> Concurrent |> Pragmatic |> Fun,9781680502992,Dave         Thomas,4.0,"January 1, 2013",Computer-Science,157,1,I struggled to connect with the main character.
The Batman Adventures Vol. 1,9781401252298,Kelley Puckett,4.0,"November 11, 2014",Children,267,0,The plot twists kept me guessing until the end.
A Darkling Sea,9780765336279,James L. Cambias,1.0,"January 28, 2014",Biology,82,0,I couldn't put it down!
The One,9780387061528,John Marrs,4.0,"July 15, 2016",Personal-Development,283,0,This book really made me think about [a theme].
Letters to a Young Poet,9780486422459,"Rainer Maria Rilke,Franz Xaver Kappus,Reginald Snell",4.0,"January 1, 1929",Business,158,1,The plot twists kept me guessing until the end.
Letters to a Young Poet,9780486422459,"Rainer Maria Rilke,Franz Xaver Kappus,Reginald Snell",4.0,"January 1, 1929",Business,353,1,A captivating story with well-developed characters.
"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",9780575067080,"Władysław Szpilman,Anthea Bell",4.0,"January 1, 1946",History,419,1,I found the writing style to be quite beautiful.
Baba Yaga and Vasilisa the Brave,9780688085001,"Marianna Mayer,Kinuko Y. Craft",4.0,"May 19, 1994",Children,35,1,I would recommend this to fans of [genre].
The Year Without Pants: WordPress.com and the Future of Work,9781118660638,Scott Berkun,4.0,"September 10, 2013",Personal-Development,20,0,The pacing felt a bit off in the middle.
Prelude,9780814903513,Madeleine L&apos;Engle,,"March 1, 1968",Children,358,1,The ending left me wanting more.
The Road to Character,9780812993257,David  Brooks,4.0,"March 10, 2015",Personal-Development,191,0,This book really made me think about [a theme].
Holidays on Ice,9780316191296,David Sedaris,,"December 1, 1997",Personal-Development,274,0,The ending left me wanting more.
"The Dark Is Rising Sequence (The Dark is Rising, #1-5)",9780020425656,Susan Cooper,4.0,"January 1, 1984",Fantasy,364,0,
"Listful Thinking: Using Lists to Be More Productive, Successful and Less Stressed",9781632280039,Paula Rizzo,3.0,"January 13, 2015",Personal-Development,130,0,The ending left me wanting more.
The Zookeeper's Wife: A War Story,9780393354256,Diane Ackerman,3.0,"September 7, 2007",Personal-Development,410,1,"Not what I expected, but in a good way!"
"Happy Birthday, Moon",9780689835445,Frank Asch,4.0,"January 1, 1982",Children,26,0,The pacing felt a bit off in the middle.
Feathers and Fools,9780152023652,"Mem Fox,Nicholas Wilton",4.0,"January 1, 1989",Children,146,0,A thought-provoking and insightful book.
A Little Princess,9780142437018,"Frances Hodgson Burnett,U.C. Knoepflmacher",4.0,"January 1, 1905",self-help,443,0,A captivating story with well-developed characters.
Hidden Figures,9780062662378,Margot Lee Shetterly,4.0,"January 1, 2016",Computer-Science,232,0,This book really made me think about [a theme].
"The Burning Dark (Spider Wars, #1)",9780765335081,Adam Christopher,3.0,"March 14, 2014",Biology,197,0,The plot twists kept me guessing until the end.
Our Tribal Future: How to Channel Our Foundational Human Instincts into a Force for Good,9781250272249,David R. Samson,4.0,"May 30, 2023",Biology,144,0,Disappointing after all the hype.
"Second Foundation (Foundation, #3)",9780553803730,Isaac Asimov,4.0,"January 1, 1953",Children,377,1,A thought-provoking and insightful book.
The Design of Everyday Things,9780465067107,Donald A. Norman,4.0,"January 1, 1988",Personal-Development,365,1,I couldn't put it down!
What's Best Next: How the Gospel Transforms the Way You Get Things Done,9780310494225,"Matt Perman,John      Piper",4.0,"January 1, 2014",Personal-Development,137,1,The world-building in this fantasy novel is incredible.
Dr. Euler's Fabulous Formula: Cures Many Mathematical Ills,9780691118222,Paul J. Nahin,4.0,"April 10, 2006",Math,66,1,
"Concepts, Techniques, and Models of Computer Programming",9780262220699,"Peter Van Roy,Seif Haridi",4.0,"January 1, 2004",Computer-Science,123,1,This book really made me think about [a theme].
"Concepts, Techniques, and Models of Computer Programming",9780262220699,"Peter Van Roy,Seif Haridi",4.0,"January 1, 2004",Computer-Science,195,0,A classic for a reason. Highly enjoyable.
Programming TypeScript: Making Your JavaScript Applications Scale,9781492037613,Boris Cherny,3.0,"January 1, 2019",Computer-Science,382,0,The world-building in this fantasy novel is incredible.
"Grabbed by Vicious (Grabbed, #1)",9781419944277,Lolita Lopez,4.0,"March 29, 2013",Biology,45,0,I would recommend this to fans of [genre].
"Grabbed by Vicious (Grabbed, #1)",9781419944277,Lolita Lopez,4.0,"March 29, 2013",Biology,165,1,This book really made me think about [a theme].
"Grabbed by Vicious (Grabbed, #1)",9781419944277,Lolita Lopez,4.0,"March 29, 2013",Biology,272,0,Disappointing after all the hype.
Under the Tuscan Sun: At Home in Italy,9780767900386,Frances Mayes,1.0,"January 1, 1996",Personal-Development,479,0,I found the writing style to be quite beautiful.
Ready for Anything: 52 Productivity Principles for Getting Things Done,9780143034544,David    Allen,4.0,"January 1, 2003",Personal-Development,435,1,A quick and entertaining read.
Alphaboat,9780374302443,Michael Chesworth,3.0,"September 23, 2002",Math,6,0,I couldn't put it down!
"The Goblin Wood (Goblin Wood, #1)",9780060513733,Hilari Bell,,"April 15, 2003",Children,17,1,
"The Goblin Wood (Goblin Wood, #1)",9780060513733,Hilari Bell,4.0,"April 15, 2003",Children,452,1,A thought-provoking and insightful book.
"The Reality Dysfunction (Night's Dawn, #1)",9780330340328,Peter F. Hamilton,4.0,"January 26, 1996",Biology,21,1,A captivating story with well-developed characters.
Emotional Intelligence 2.0,9780974320625,"Travis Bradberry,Jean Greaves",4.0,"January 28, 2003",Business,146,1,A quick and entertaining read.
Emotional Intelligence 2.0,9780974320625,"Travis Bradberry,Jean Greaves",,"January 28, 2003",Business,198,1,A classic for a reason. Highly enjoyable.
From Time to Time,9781999957100,Daniel Mangena,4.0,"April 29, 2018",Personal-Development,311,0,I struggled to connect with the main character.
Spirited Away Picture Book,9781569317969,Hayao Miyazaki,,"December 1, 2002",studio-ghibli,54,1,A captivating story with well-developed characters.
Beyond the Headlines (Clare Carlson #4),9781608094097,R.G. Belsky,,"May 4, 2021",Math,9,0,
Violent Python,9781597499576,T.J. O&apos;Connor,4.0,"November 8, 2012",Computer-Science,392,0,The pacing felt a bit off in the middle.
Coming of Age in the Milky Way,9780385263269,Timothy Ferris,4.0,"May 4, 1988",Computer-Science,381,0,
Confident You: An Introvert's Guide to Success in Life and Business,9781515086765,"S.J. Scott,Rebecca Livermore",,"June 23, 2015",Personal-Development,220,1,Disappointing after all the hype.
Why Men Love Bitches,9781605501550,Sherry Argov,4.0,"October 1, 2009",Personal-Development,77,1,I would recommend this to fans of [genre].
"Trickster's Choice (Daughter of the Lioness, #1)",9780375828799,Tamora Pierce,4.0,"September 23, 2003",Fantasy,223,1,I would recommend this to fans of [genre].
"The Woman From Death Row (Jade Stryker, #1)",9798215946787,Peter Hogenkamp,1.0,"June 20, 2023",Technology,310,0,A quick and entertaining read.
Rain: A Natural and Cultural History,9780804137119,Cynthia Barnett,,"April 21, 2015",Computer-Science,6,0,The ending left me wanting more.
Rain: A Natural and Cultural History,9780804137119,Cynthia Barnett,3.0,"April 21, 2015",Computer-Science,39,0,I struggled to connect with the main character.
"Ella of All-of-a-Kind Family (All-of-a-Kind-Family, #5)",9780929093055,Sydney Taylor,4.0,"January 1, 1978",Children,326,1,"Not what I expected, but in a good way!"
The Number Devil: A Mathematical Adventure,9780805062991,"Hans Magnus Enzensberger,Michael Henry Heim",4.0,"January 1, 1997",Math,210,0,A thought-provoking and insightful book.
A First Course in Database Systems,9781292038247,"Jeffrey D. Ullman,Jennifer Widom",4.0,"January 1, 1997",Computer-Science,378,1,The pacing felt a bit off in the middle.
Visual Group Theory (MAA Problem Book Series),9780883857571,Nathan Carter,4.0,"June 1, 2009",Math,90,1,I would recommend this to fans of [genre].
Alien³,9780708852408,Alan Dean Foster,4.0,"June 1, 1992",Biology,61,1,The ending left me wanting more.
Thing,9780195545494,Robin Klein,4.0,"January 1, 1987",Children,45,0,
Thing,9780195545494,Robin Klein,4.0,"January 1, 1987",Children,238,1,I would recommend this to fans of [genre].
Archimedes' Revenge: Joys and Perils of Mathematics (Penguin Press Science),9780140125061,Paul Hoffman,4.0,"May 1, 1988",Math,197,1,The ending left me wanting more.
Archimedes' Revenge: Joys and Perils of Mathematics (Penguin Press Science),9780140125061,Paul Hoffman,4.0,"May 1, 1988",Math,467,0,I found the writing style to be quite beautiful.
High Performance Browser Networking,9781449344764,Ilya Grigorik,5.0,"January 1, 2013",Computer-Science,488,1,The world-building in this fantasy novel is incredible.
"Inside of a Dog: What Dogs See, Smell, and Know",9781416583400,Alexandra Horowitz,4.0,"January 1, 2009",Math,463,1,A thought-provoking and insightful book.
"The Epigenetics Revolution: How Modern Biology Is Rewriting Our Understanding of Genetics, Disease and Inheritance",9781848313477,Nessa Carey,2.0,"January 1, 2011",Math,350,0,A classic for a reason. Highly enjoyable.
"The Epigenetics Revolution: How Modern Biology Is Rewriting Our Understanding of Genetics, Disease and Inheritance",9781848313477,Nessa Carey,1.0,"January 1, 2011",Math,480,0,
One More Sheep,9781561453788,"Mij Kelly,Russell Ayto",,"June 17, 2004",Math,309,0,I couldn't put it down!
"Women After All: Sex, Evolution, and the End of Male Supremacy",9780393352313,Melvin Konner,4.0,"February 23, 2015",Computer-Science,141,0,I struggled to connect with the main character.
"Women After All: Sex, Evolution, and the End of Male Supremacy",9780393352313,Melvin Konner,2.0,"February 23, 2015",Computer-Science,500,0,I would recommend this to fans of [genre].
Six Thinking Hats,9780140296662,Edward de Bono,4.0,"January 1, 1985",Business,42,1,
Jassy,9780449241011,Norah Lofts,4.0,"January 1, 1944",Children,228,1,Disappointing after all the hype.
The Curious Incident of the Dog in the Night-Time: A Novel,9780385509459,Mark Haddon,4.0,"July 31, 2003",nonfiction,235,0,The ending left me wanting more.
Shakespeare: The World as Stage,9780060740221,"Bill Bryson,Auke Leistra",3.0,"January 1, 2007",Personal-Development,210,0,A classic for a reason. Highly enjoyable.
An Introduction to Thermal Physics,9780201380279,Daniel V. Schroeder,4.0,"August 18, 1999",Math,106,0,The ending left me wanting more.
An Introduction to Thermal Physics,9780201380279,Daniel V. Schroeder,4.0,"August 18, 1999",Math,263,0,"Not what I expected, but in a good way!"
Gender Queer: A Memoir,9781549304002,Maia Kobabe,,"May 28, 2019",Comics,460,1,I struggled to connect with the main character.
Gender Queer: A Memoir,9781549304002,Maia Kobabe,4.0,"May 28, 2019",Comics,475,0,A quick and entertaining read.
Starring Sally J. Freedman as Herself,9780689840890,Judy Blume,1.0,"March 7, 1977",Children,368,0,The world-building in this fantasy novel is incredible.
"Does a Kangaroo Have a Mother, Too?",9780060287672,Eric Carle,4.0,"January 1, 1991",Children,499,0,The plot twists kept me guessing until the end.
The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play,9781585425525,Neil A. Fiore,4.0,"November 1, 1988",Personal-Development,303,0,I found the writing style to be quite beautiful.
"The Fourth Apprentice (Warriors: Omen of the Stars, #1)",9780061555091,"Erin Hunter,Owen Richardson,Allen Douglas",3.0,"July 12, 2009",Children,111,0,I couldn't put it down!
"The Fourth Apprentice (Warriors: Omen of the Stars, #1)",9780061555091,"Erin Hunter,Owen Richardson,Allen Douglas",4.0,"July 12, 2009",Children,241,1,"Not what I expected, but in a good way!"
"The Raven Boys (The Raven Cycle, #1)",9780545424929,Maggie Stiefvater,4.0,"September 18, 2012",Fantasy,480,1,I couldn't put it down!
"Nonlinear Dynamics and Chaos: With Applications to Physics, Biology, Chemistry, and Engineering",9780367092061,Steven H. Strogatz,4.0,"January 1, 1994",Computer-Science,210,1,The ending left me wanting more.
"Nonlinear Dynamics and Chaos: With Applications to Physics, Biology, Chemistry, and Engineering",9780367092061,Steven H. Strogatz,1.0,"January 1, 1994",Computer-Science,431,0,A classic for a reason. Highly enjoyable.
The One That Got Away: My SAS Mission Behind Enemy Lines,9781574881561,Chris Ryan,4.0,"January 1, 1995",Math,379,0,
"Changes for Kaya: A Story of Courage (American Girls: Kaya, #6)",9781584854333,Janet Beeler Shaw,,"September 1, 2002",Math,345,1,The world-building in this fantasy novel is incredible.
Great North Road,9780345526663,Peter F. Hamilton,4.0,"July 1, 2012",Children,237,1,This book really made me think about [a theme].
Hackers & Painters: Big Ideas from the Computer Age,9780596006624,Paul    Graham,4.0,"May 20, 2004",Computer-Science,158,1,"Not what I expected, but in a good way!"
"Hawkeye Collins & Amy Adams in The Case of the Video Game Smugglers & Other Mysteries (Can You Solve the Mystery?, #3)",9780915658886,M. Masters,,"January 1, 1983",Computer-Science,150,0,
"Hawkeye Collins & Amy Adams in The Case of the Video Game Smugglers & Other Mysteries (Can You Solve the Mystery?, #3)",9780915658886,M. Masters,4.0,"January 1, 1983",Computer-Science,180,0,A captivating story with well-developed characters.
This Is How They Tell Me the World Ends: The Cyberweapons Arms Race,9781635576054,Nicole Perlroth,,"February 9, 2021",Computer-Science,494,1,
Against the Fall of Night,9781596871229,Arthur C. Clarke,4.0,"January 1, 1953",Children,245,0,A thought-provoking and insightful book.
Against the Fall of Night,9781596871229,Arthur C. Clarke,4.0,"January 1, 1953",Children,496,0,A classic for a reason. Highly enjoyable.
Finding Flow: The Psychology of Engagement with Everyday Life,9780465024117,Mihály Csíkszentmihályi,4.0,"January 1, 1995",Personal-Development,192,1,I struggled to connect with the main character.
Found Things,9781442460874,Marilyn Hilton,4.0,"July 1, 2014",Children,499,0,I couldn't put it down!
"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",9780316436502,"Tom         Wright,Bradley Hope",,"September 18, 2018",Technology,154,1,This book really made me think about [a theme].
"Thinking In Numbers: On Life, Love, Meaning, and Math",9780316187374,Daniel Tammet,4.0,"August 1, 2012",Math,103,1,Disappointing after all the hype.
"Dead and Gone (Sookie Stackhouse, #9)",9780441017157,Charlaine Harris,1.0,"May 5, 2009",Children,393,0,I couldn't put it down!
"The Last Lion: Winston Spencer Churchill: Alone, 1932-40",9780385313315,William Manchester,4.0,"October 28, 1988",History,350,0,I struggled to connect with the main character.
Salt Sugar Fat: How the Food Giants Hooked Us,9781400069804,Michael  Moss,4.0,"February 26, 2013",Personal-Development,267,1,The plot twists kept me guessing until the end.
John Adams,9780743223133,David McCullough,4.0,"May 1, 2001",Biology,211,0,A captivating story with well-developed characters.
John Adams,9780743223133,David McCullough,4.0,"May 1, 2001",Biology,264,0,The plot twists kept me guessing until the end.
Stealing the Network: How to Own the Box,9781931836876,Ryan Russell,,"January 1, 2003",Computer-Science,331,1,The plot twists kept me guessing until the end.
Arthur's New Puppy (Arthur Adventure Series),9780316109215,Marc Brown,4.0,"January 1, 1993",Math,315,0,
"Winger (Winger, #1)",9781442444928,Andrew  Smith,3.0,"May 14, 2013",Children,489,0,A thought-provoking and insightful book.
Planning Extreme Programming,9780201710915,"Kent Beck,Martin Fowler",4.0,"October 26, 2000",Computer-Science,124,1,A thought-provoking and insightful book.
I Never Promised You a Rose Garden,9780451160317,"Hannah  Green,Joanne Greenberg",4.0,"January 1, 1964",History,62,0,A quick and entertaining read.
The Nature Notes of an Edwardian Lady,9781559700443,Edith Holden,1.0,"January 1, 1905",Computer-Science,86,0,I found the writing style to be quite beautiful.
The Nature Notes of an Edwardian Lady,9781559700443,Edith Holden,4.0,"January 1, 1905",Computer-Science,134,0,The ending left me wanting more.
"Mona Lisa Overdrive (Sprawl, #3)",9780553281743,William Gibson,4.0,"June 1, 1988",Artificial-Intelligence,235,0,I would recommend this to fans of [genre].
"This Is How: Proven Aid in Overcoming Shyness, Molestation, Fatness, Spinsterhood, Grief, Disease, Lushery, Decrepitude & More. For Young and Old Alike.",9780312563554,Augusten Burroughs,4.0,"May 8, 2012",Personal-Development,277,1,A thought-provoking and insightful book.
Red Platoon: A True Story of American Valor,9780525955054,Clinton Romesha,,"May 3, 2016",History,73,1,A captivating story with well-developed characters.
The Righteous Mind: Why Good People Are Divided by Politics and Religion,9780307907035,"Jonathan Haidt,Simona Drelciuc",4.0,"March 13, 2012",Personal-Development,258,0,A quick and entertaining read.
The Righteous Mind: Why Good People Are Divided by Politics and Religion,9780307907035,"Jonathan Haidt,Simona Drelciuc",3.0,"March 13, 2012",Personal-Development,466,0,
Prejudices: The Complete Series,9781598530766,H.L. Mencken,4.0,"January 1, 1927",Math,469,0,I couldn't put it down!
The Watsons Go to Birmingham - 1963,9780440228004,Christopher Paul Curtis,4.0,"January 1, 1995",Children,230,0,A quick and entertaining read.
"The Strange Case of the Alchemist's Daughter (The Extraordinary Adventures of the Athena Club, #1)",9781534409637,Theodora Goss,4.0,"June 20, 2017",Math,297,1,A classic for a reason. Highly enjoyable.
Taash and the Jesters,9780805023817,Ellen Kindt McKenzie,5.0,"November 1, 1968",Children,95,1,The plot twists kept me guessing until the end.
Taash and the Jesters,9780805023817,Ellen Kindt McKenzie,5.0,"November 1, 1968",Children,358,0,Disappointing after all the hype.
Taash and the Jesters,9780805023817,Ellen Kindt McKenzie,5.0,"November 1, 1968",Children,370,0,
The Making of the Atomic Bomb,9780684813783,Richard Rhodes,2.0,"September 18, 1986",Math,1,0,This book really made me think about [a theme].
The Making of the Atomic Bomb,9780684813783,Richard Rhodes,4.0,"September 18, 1986",Math,200,0,The ending left me wanting more.
